～おき,～置き,隔，每隔
～がきがかりです,～が気がかりです,放心不下
～がきにかかる,～が気にかかる,担心
～かぎり,～限り,只要～就，尽～
～がち,,每每，往往，容易，经常
～から,,从，由，以后，由于，因为
～から～につたえる,～から～に伝える,从～传到～
～からでんわがかかってきた,～から電話がかかってきた,从～打来电话
～からでんわをもらう,～から電話をもらう,给～来了电话
～かわ,～側,一侧，一方，一边，方面
～ぎみ,～気味,有～倾向，总觉得有点儿～
～きをつかう,～気を使う,操心（费心）于～
～くらい,,大约，左右，（像～）那样，（到～）程度
～ぐらい,,大约，左右，（像～）那样，（到～）程度
～こそ,,只有，惟有，才是，正因为～才
～さえ,,就连～，甚至～，只要，而且
～させる,,令，让，让～做
～しか,,只有～才，仅，只
～しだい,,依据～，立刻
～じゅう,～中,整个～，整～
～すぎ,～過ぎ,超过～，过了～
～ずつ,～宛,（表示均摊）每，各（表示反复，每次数量相同）
～そう,,好像，像是，看样子，据说，听说
～たい,,想～
～たがる,,想～
～だけ,,只，仅仅，尽量，尽可能
～だけのことがある,,值得，不愧，无怪乎
～だって,,即便是～，就是～
～だろう,,（用于推测，征求对方同意等）是～吧，是～吗
～つける,～付ける,惯于～，经常～，（加强前接动词的语气）狠狠地～，使劲地～
～つちにそだつ,～土に育つ,成长于某地
～つれて,～連れて,随着～
～として,,作为（资格、立场等），（下接否定表示）无一例外地～
～ながら,～乍,边～边～，一面～一面～，虽然，尽管，就连～
～ならない,,不许～，不可～，不能～
～にえいきょうをあたえる,～に影響を与える,给予～影响
～にかんどうする,～に感動する,为（被）～所感动
～にきょうみがある,～に興味がある,对～感兴趣；对～感（有）兴趣
～にきょうみをもつ,～に興味を持つ,对～感（有）兴趣
～にくい,～難い,（接动词连用形下表示）不好～，难～
～にけいいをあらわす,～に敬意を表す,向～表示敬意
～にしては,,就～而论，按～说来，就～而言
～につながる,,与～联系
～につれて,～に連れて,随着～
～にてがみをかく,～に手紙を書く,给～写信
～にでんわをかける,～に電話をかける,给～打电话
～になれていません,～に慣れていません,没有习惯
～になれる,～に慣れる,习惯
～にやくだつ,～に役立つ,对～起作用
～のべんきょうをする,～の勉強をする,进行～的学习
～は～がにんきがある,～は～が人気がある,～有人气
～ぶり,～振り,样子，状态，样式，风格，分量，形状，体积，相隔（时间）
～まで,,（时间、空间等的界限）到，到达，终点；连～都，只是，不过
～までに,,（时间、空间等的界限）到，到达，连～都，只是，不过
～みたい,,（表示相似）像～一样，（表示例示）例如，（表示推断或委婉推断）像是
～よう,,好像，如同，犹如，像～那样，希望～，为了～，似乎，仿佛
～らしい,,像是～，似乎～，像～样子，有～风度
～を～につたえる,～を～に伝える,把～传入～
～を～にやくす,～を～に訳す,把～翻译成～
～をいったりきたりする,～を行ったり来たりする,往来于～
～をしゅざいする,～を取材する,采访～
～をべんきょうする,～を勉強する,学～
～をまねる,,模仿～
～をりょこうします,～を旅行します,旅行于～
イーメール,E-mail,（Eメール，eメール）电子邮件
ああ,,那样，那么
アートメーション,automation,自动控制，自动装置
あい,愛,爱，爱情，友爱，恩爱
あいかわらず,相変わらず,仍旧，依旧，照旧
あいきょう,愛敬,可爱之处，魅力，招人喜欢；恭维；逗乐儿，逗笑儿，助兴
あいこうか,愛好家,爱好者
あいさつ,挨拶,应酬话，寒暄，表示敬意，致敬，问候；致词，讲话；答应，答理；（御挨拶）表示虚伪；通知
あいさつをする,挨拶をする,寒暄，致意
あいじょう,愛情,爱，爱情
あいず,合図,信号
アイスクリーム,ice cream,冰激凌，冰淇林，冰糕，雪糕，冰激淋
あいする,愛する,爱，热爱，慈爱，敬爱，爱恋
あいそう,愛想,亲切，和蔼可亲；（おあいそ）招待，款待，（在饮食店）算账
あいだ,間,间隔，距离；间，中间；期间，时候，工夫；关系
あいだがら,間柄,（人与人的）关系，来往关系，交际，交情
あいちゃく,愛着,眷恋，留恋，依依不舍，舍不得，依恋，不能忘怀
あいつぐ,相次ぐ,相继发生，连续不断
あいづちをうつ,相槌を打つ,随声附和
あいて,相手,对方，伙伴，共事者；对方，对手，敌手；（行动目标的）对象
アイデア,idea,创意，想法，主意
アイディア,idea,观念，主意，想法，念头，创意
あいにく,生憎,不凑巧，偏偏；对不起
あいま,合間,空儿，空闲时间，间歇，闲空儿，余暇
あいまい,曖昧,暧昧，含糊，模棱，不明确，可疑
あいろ,隘路,隘路，狭路，难关，障碍
アイロン,iron,熨斗，烙铁
あう,合う,合适，适合，相称，谐合，（衣服）合（身），协调；合算；（意见）一致；（表）对，准；（结尾）互相，一块儿～，一同
あう,会う,遇见；会见，见面；遭遇，碰上，碰见
あう,遭う,遇见；会见，见面；遭遇，碰上，碰见
アウト,out,外，外边，（网球、乒乓球）出界，（棒球）出局；不行，糟糕
あえて,敢えて,胆敢，敢，特意；（下接否定）毫（不）
あお,青,青，蓝，草色，绿色，蔚蓝；绿（灯）；（俗称）马；（接头）年轻，未成熟
あおい,青い,青，蓝，绿，发青，蓝的；不成熟的，青的，幼稚的；（脸色）苍白
あおぐ,扇ぐ,扇，煽
あおぐ,仰ぐ,仰（天），瞻；尊为，推为，拜；请，求；饮，服（毒）
あおじろい,青白い,青白色，（脸色）苍白的
あおぞら,青空,蓝天，青天，青空，晴空，碧空；露天，室外
あおもり,青森,青森，日本地名
あおる,,（煽る）扇；（风）吹动，晃动；扇动，鼓动；催马；哄抬；（用广角镜头的照相机）仰摄；（被风）吹动
